subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb
15,22,29,A,48.219107227680986,58.74045440607653,2.4109553613840493,0.9226929001532811,A,960.6371660192963,Correct,3,8,big,small,False,Size,left,left,914.15766600403,Correct
15,22,30,A,46.1699523039086,75.23339292173675,2.3084976151954297,1.1817633725378127,A,1078.3632069942541,Correct,3,5,big,small,False,Size,left,left,784.2231660033576,Correct
15,22,31,B,83.76385050365631,58.296071334287916,4.188192525182816,0.9157125471847274,B,1219.3637909949757,Correct,2,8,big,small,False,Value,right,right,1390.3797490056604,Correct
15,22,32,A,26.896633991242258,52.170342964999534,1.344831699562113,0.8194898309705125,A,1490.244165994227,Correct,5,6,big,small,False,Size,left,left,951.1140820104629,Correct
15,22,33,B,50.81453440754858,41.722116992050545,2.540726720377429,0.6553694811721994,B,1506.853458005935,Correct,5,2,small,big,False,Size,right,right,1089.766541001154,Correct
15,22,34,A,34.31542916991086,61.37229637847796,1.7157714584955428,0.9640337771828091,A,1014.3493739888072,Correct,8,4,small,big,False,Size,right,right,1136.7300410056487,Correct
15,22,35,B,67.19954885737086,45.72953005736372,3.359977442868543,0.7183177784016375,B,1830.7934989861678,Correct,6,8,big,small,False,Value,right,right,991.4827910251915,Correct
15,22,36,B,47.72115352228164,19.43231906990299,2.386057676114082,0.3052421541611004,B,1877.350541006308,Correct,2,6,small,big,True,Size,right,right,1014.4476660061628,Correct
15,22,37,B,61.78514039000918,36.398211718225305,3.089257019500459,0.5717417726889127,B,709.9313329963479,Correct,4,3,small,big,False,Value,left,right,1772.1478329913225,Incorrect
15,22,38,A,19.309339596819772,40.957803087435444,0.9654669798409885,0.6433636664333228,A,926.83974900865,Correct,2,7,big,small,False,Value,right,right,987.0659580046777,Correct
15,22,39,B,55.55225886898813,29.020790362586165,2.7776129434494066,0.45585750902235084,B,1236.8784160062205,Correct,4,6,big,small,False,Value,right,right,1159.3956660071854,Correct
